beta :[ 0.1024178  -0.08137398  0.089741  ] and der [-0.00426657  0.00339141 -0.00366635]
beta :[ 0.10668437 -0.08476538  0.09340735] and der [-0.00421622  0.00335149 -0.00361639]
beta :[ 0.11090059 -0.08811687  0.09702374] and der [-0.00416649  0.00331207 -0.00356707]
beta :[ 0.11506708 -0.09142894  0.10059081] and der [-0.00411737  0.00327312 -0.00351837]
beta :[ 0.11918445 -0.09470206  0.10410918] and der [-0.00406885  0.00323466 -0.00347028]
beta :[ 0.1232533  -0.09793672  0.10757946] and der [-0.00402094  0.00319666 -0.00342281]
beta :[ 0.12727423 -0.10113338  0.11100227] and der [-0.00397361  0.00315913 -0.00337593]
beta :[ 0.13124785 -0.10429251  0.1143782 ] and der [-0.00392687  0.00312206 -0.00332965]
beta :[ 0.13517472 -0.10741457  0.11770785] and der [-0.00388071  0.00308544 -0.00328395]
beta :[ 0.13905542 -0.11050001  0.1209918 ] and der [-0.00383511  0.00304927 -0.00323883]
beta :[ 0.14289054 -0.11354929  0.12423063] and der [-0.00379008  0.00301355 -0.00319429]
beta :[ 0.14668061 -0.11656283  0.12742492] and der [-0.0037456   0.00297826 -0.0031503 ]
beta :[ 0.15042622 -0.11954109  0.13057523] and der [-0.00370167  0.0029434  -0.00310688]
beta :[ 0.15412789 -0.12248448  0.1336821 ] and der [-0.00365828  0.00290896 -0.003064  ]
beta :[ 0.15778617 -0.12539345  0.13674611] and der [-0.00361543  0.00287495 -0.00302167]
beta :[ 0.1614016  -0.1282684   0.13976778] and der [-0.00357311  0.00284136 -0.00297987]
beta :[ 0.16497471 -0.13110975  0.14274765] and der [-0.0035313   0.00280817 -0.00293861]
beta :[ 0.16850601 -0.13391792  0.14568626] and der [-0.00349002  0.00277539 -0.00289787]
beta :[ 0.17199603 -0.13669331  0.14858413] and der [-0.00344924  0.00274301 -0.00285764]
beta :[ 0.17544527 -0.13943632  0.15144177] and der [-0.00340896  0.00271102 -0.00281792]
beta :[ 0.17885423 -0.14214735  0.15425969] and der [-0.00336918  0.00267943 -0.00277871]
beta :[ 0.18222341 -0.14482678  0.1570384 ] and der [-0.00332989  0.00264822 -0.00274   ]
beta :[ 0.1855533 -0.147475   0.1597784] and der [-0.00329108  0.00261739 -0.00270177]
beta :[ 0.18884438 -0.15009239  0.16248017] and der [-0.00325276  0.00258694 -0.00266404]
beta :[ 0.19209714 -0.15267934  0.16514421] and der [-0.0032149   0.00255686 -0.00262678]
beta :[ 0.19531204 -0.1552362   0.16777099] and der [-0.00317751  0.00252715 -0.00258999]
beta :[ 0.19848955 -0.15776335  0.17036098] and der [-0.00314058  0.0024978  -0.00255367]
beta :[ 0.20163012 -0.16026115  0.17291465] and der [-0.0031041   0.00246881 -0.00251782]
beta :[ 0.20473423 -0.16272996  0.17543247] and der [-0.00306808  0.00244017 -0.00248241]
beta :[ 0.20780231 -0.16517013  0.17791488] and der [-0.0030325   0.00241188 -0.00244746]
beta :[ 0.2108348  -0.16758201  0.18036235] and der [-0.00299735  0.00238393 -0.00241296]
beta :[ 0.21383215 -0.16996594  0.1827753 ] and der [-0.00296264  0.00235633 -0.00237889]
beta :[ 0.21679479 -0.17232227  0.18515419] and der [-0.00292835  0.00232906 -0.00234525]
beta :[ 0.21972315 -0.17465133  0.18749944] and der [-0.00289449  0.00230212 -0.00231205]
beta :[ 0.22261764 -0.17695345  0.18981149] and der [-0.00286105  0.00227552 -0.00227926]
beta :[ 0.22547868 -0.17922897  0.19209075] and der [-0.00282801  0.00224923 -0.00224689]
beta :[ 0.22830669 -0.1814782   0.19433765] and der [-0.00279538  0.00222327 -0.00221494]
beta :[ 0.23110208 -0.18370147  0.19655259] and der [-0.00276315  0.00219762 -0.00218339]
beta :[ 0.23386523 -0.18589908  0.19873598] and der [-0.00273132  0.00217228 -0.00215225]
beta :[ 0.23659655 -0.18807136  0.20088822] and der [-0.00269988  0.00214725 -0.0021215 ]
beta :[ 0.23929644 -0.19021862  0.20300972] and der [-0.00266883  0.00212253 -0.00209114]
beta :[ 0.24196527 -0.19234115  0.20510086] and der [-0.00263816  0.00209811 -0.00206117]
beta :[ 0.24460343 -0.19443925  0.20716202] and der [-0.00260787  0.00207398 -0.00203158]
beta :[ 0.2472113  -0.19651323  0.2091936 ] and der [-0.00257794  0.00205015 -0.00200237]
beta :[ 0.24978924 -0.19856337  0.21119597] and der [-0.00254839  0.0020266  -0.00197353]
beta :[ 0.25233763 -0.20058998  0.2131695 ] and der [-0.0025192   0.00200334 -0.00194506]
