beta :[ 0.83830742 -0.13275834  0.17051435] and der [-0.00436821 -0.00419251  0.00105262]
beta :[ 0.84267563 -0.12856582  0.16946173] and der [-0.00434095 -0.00416635  0.00104605]
beta :[ 0.84701658 -0.12439947  0.16841567] and der [-0.00431387 -0.00414035  0.00103953]
beta :[ 0.85133045 -0.12025912  0.16737615] and der [-0.00428695 -0.00411452  0.00103304]
beta :[ 0.8556174  -0.1161446   0.16634311] and der [-0.0042602  -0.00408884  0.00102659]
beta :[ 0.85987759 -0.11205575  0.16531651] and der [-0.00423361 -0.00406333  0.00102019]
beta :[ 0.86411121 -0.10799242  0.16429633] and der [-0.00420719 -0.00403797  0.00101382]
beta :[ 0.8683184  -0.10395445  0.1632825 ] and der [-0.00418094 -0.00401278  0.0010075 ]
beta :[ 0.87249934 -0.09994167  0.16227501] and der [-0.00415485 -0.00398774  0.00100121]
beta :[ 0.87665419 -0.09595393  0.1612738 ] and der [-0.00412893 -0.00396285  0.00099496]
beta :[ 0.88078312 -0.09199108  0.16027884] and der [-0.00410316 -0.00393813  0.00098875]
beta :[ 0.88488628 -0.08805295  0.15929009] and der [-0.00407756 -0.00391355  0.00098258]
beta :[ 0.88896384 -0.0841394   0.15830751] and der [-0.00405211 -0.00388913  0.00097645]
beta :[ 0.89301595 -0.08025027  0.15733105] and der [-0.00402683 -0.00386486  0.00097036]
beta :[ 0.89704278 -0.07638541  0.1563607 ] and der [-0.0040017  -0.00384075  0.0009643 ]
beta :[ 0.90104448 -0.07254466  0.15539639] and der [-0.00397673 -0.00381678  0.00095829]
beta :[ 0.90502122 -0.06872788  0.15443811] and der [-0.00395192 -0.00379296  0.00095231]
beta :[ 0.90897313 -0.06493492  0.1534858 ] and der [-0.00392726 -0.0037693   0.00094636]
beta :[ 0.91290039 -0.06116562  0.15253944] and der [-0.00390275 -0.00374577  0.00094046]
beta :[ 0.91680314 -0.05741985  0.15159898] and der [-0.0038784  -0.0037224   0.00093459]
beta :[ 0.92068153 -0.05369745  0.15066439] and der [-0.0038542  -0.00369917  0.00092876]
beta :[ 0.92453573 -0.04999827  0.14973563] and der [-0.00383014 -0.00367609  0.00092296]
beta :[ 0.92836587 -0.04632218  0.14881267] and der [-0.00380624 -0.00365315  0.0009172 ]
beta :[ 0.93217212 -0.04266903  0.14789547] and der [-0.00378249 -0.00363036  0.00091148]
beta :[ 0.93595461 -0.03903868  0.14698399] and der [-0.00375889 -0.0036077   0.00090579]
beta :[ 0.9397135  -0.03543097  0.1460782 ] and der [-0.00373544 -0.00358519  0.00090014]
beta :[ 0.94344894 -0.03184578  0.14517806] and der [-0.00371213 -0.00356282  0.00089452]
beta :[ 0.94716106 -0.02828296  0.14428353] and der [-0.00368896 -0.00354059  0.00088894]
beta :[ 0.95085003 -0.02474238  0.14339459] and der [-0.00366594 -0.00351849  0.00088339]
beta :[ 0.95451597 -0.02122388  0.1425112 ] and der [-0.00364307 -0.00349654  0.00087788]
beta :[ 0.95815904 -0.01772735  0.14163332] and der [-0.00362033 -0.00347472  0.0008724 ]
beta :[ 0.96177937 -0.01425263  0.14076091] and der [-0.00359774 -0.00345304  0.00086696]
beta :[ 0.96537711 -0.01079959  0.13989395] and der [-0.00357529 -0.00343149  0.00086155]
beta :[ 0.96895241 -0.0073681   0.1390324 ] and der [-0.00355298 -0.00341008  0.00085617]
beta :[ 0.97250539 -0.00395802  0.13817623] and der [-0.00353081 -0.0033888   0.00085083]
beta :[  9.76036206e-01  -5.69225285e-04   1.37325397e-01] and der [-0.00350878 -0.00336765  0.00084552]
beta :[ 0.97954499  0.00279843  0.13647987] and der [-0.00348689 -0.00334664  0.00084025]
0.5,100,0.983031873328,0.0061450650699,0.135639628002
beta :[ 0.  0.  0.] and der [-1.09646081  0.87081977 -0.9752792 ]
beta :[ 1.09646081 -0.87081977  0.9752792 ] and der [ 1.51826535 -1.19807342  1.63383643]
beta :[-0.42180454  0.32725365 -0.65855723] and der [-2.32901413  1.81461596 -2.33374699]
beta :[ 1.90720959 -1.48736231  1.67518976] and der [ 3.41168908 -2.696289    3.5213509 ]
beta :[-1.50447949  1.2089267  -1.84616114] and der [-5.11350006  3.99520594 -5.20636154]
beta :[ 3.60902057 -2.78627924  3.36020041] and der [ 7.56753633 -5.96161236  7.75936387]
beta :[-3.95851576  3.17533313 -4.39916346] and der [-11.28438023   8.83906964 -11.52428098]
beta :[ 7.32586447 -5.66373651  7.12511752] and der [ 16.74718965 -13.16892884  17.14475936]
beta :[ -9.42132518   7.50519232 -10.01964184] and der [-24.93052812  19.55300676 -25.48322753]
beta :[ 15.50920294 -12.04781443  15.46358569] and der [ 37.0386176  -29.09970987  37.89737816]
beta :[-21.52941466  17.05189544 -22.43379247] and der [-55.09962286  43.23962979 -56.34043443]
beta :[ 33.57020819 -26.18773435  33.90664195] and der [ 81.89645466 -64.317819    83.77669878]
beta :[-48.32624647  38.13008465 -49.87005683] and der [-121.79562302   95.6041343  -124.55647866]
beta :[ 73.46937655 -57.47404966  74.68642183] and der [ 181.06408949 -142.17534461  185.20335378]
beta :[-107.59471293   84.70129496 -110.51693195] and der [-269.24219161  211.36713065 -275.3628211 ]
beta :[ 161.64747868 -126.66583569  164.84588916] and der [ 400.29555856 -314.29679649  409.4294038 ]
beta :[-238.64807988  187.6309608  -244.58351465] and der [-595.20558073  467.28636156 -608.75325894]
beta :[ 356.55750084 -279.65540077  364.16974429] and der [ 884.95454074 -694.8093927   905.13044587]
beta :[-528.3970399   415.15399193 -540.96070158] and der [-1315.81960188  1033.05173183 -1345.78597819]
beta :[ 787.42256198 -617.8977399   804.82527661] and der [ 1956.3993677  -1536.01639658  2000.98658602]
beta :[-1168.97680572   918.11865668 -1196.16130941] and der [-2908.89553734  2283.80006875 -2975.15864693]
beta :[ 1739.91873162 -1365.68141207  1778.99733752] and der [ 4325.06322849 -3395.68959561  4423.61741722]
beta :[-2585.14449687  2030.00818354 -2644.6200797 ] and der [-6430.74020197  5048.85374809 -6577.24482087]
beta :[ 3845.5957051  -3018.84556455  3932.62474117] and der [ 9561.51476553 -7506.90606476  9779.37518729]
beta :[-5715.91906044  4488.06050022 -5846.75044612] and der [-14216.551877    11161.61208079 -14540.44759737]
beta :[ 8500.63281657 -6673.55158057  8693.69715125] and der [ 21137.84101002 -16595.65358003  21619.45444968]
beta :[-12637.20819345   9922.10199946 -12925.75729843] and der [-31428.79939692  24675.20703406 -32144.85674526]
beta :[ 18791.59120347 -14753.1050346   19219.09944682] and der [ 46729.8531474  -36688.32700872  47794.55094786]
beta :[-27938.26194393  21935.22197411 -28575.45150104] and der [-69480.25429386  54549.97727778 -71063.27071248]
beta :[ 41541.99234993 -32614.75530367  42487.81921144] and der [ 103306.61814725  -81107.5961794   105660.35238856]
beta :[-61764.62579732  48492.84087574 -63172.53317712] and der [-153601.35537895  120594.71999125 -157100.97493421]
beta :[ 91836.72958164 -72101.87911551  93928.44175709] and der [ 228381.98658015 -179306.14968441  233585.41942114]
beta :[-136545.25699852  107204.27056889 -139656.97766404] and der [-339569.53066856  266601.13325083 -347306.22218048]
beta :[ 203024.27367005 -159396.86268193  207649.24451643] and der [ 504888.56677163 -396395.6262923   516391.88477674]
beta :[-301864.29310158  236998.76361037 -308742.6402603 ] and der [-750693.03886563  589380.38651094 -767796.70846695]
beta :[ 448828.74576405 -352381.62290057  459054.06820664] and der [ 1116167.10937966  -876319.60826175  1141597.70793299]
beta :[-667338.36361561  523937.98536118 -682543.63972635] and der [-1659571.87615293  1302954.83886813 -1697383.30837784]
beta :[  992233.51253732  -779016.85350695  1014839.66865149] and der [ 2467532.62294601 -1937297.00799147  2523752.53524337]
beta :[-1475299.11040869  1158280.15448452 -1508912.86659188] and der [-3668848.22319594  2880467.93494134 -3752438.71378941]
beta :[ 2193549.11278726 -1722187.78045682  2243525.84719753] and der [ 5455022.97990042 -4282820.64273155  5579309.43483273]
beta :[-3261473.86711317  2560632.86227473 -3335783.5876352 ] and der [-8110795.01837629  6367907.2067387  -8295590.17465158]
beta :[ 4849321.15126312 -3807274.34446397  4959806.58701638] and der [ 12059526.75310156  -9468115.93950582  12334289.25477891]
beta :[-7210205.60183844  5660841.59504185 -7374482.66776254] and der [-17930694.28689792  14077657.89294343 -18339224.59060784]
beta :[ 10720488.68505947  -8416816.29790158  10964741.9228453 ] and der [ 26660233.32596461 -20931350.3814111   27267656.18824544]
beta :[-15939744.64090514  12514534.08350952 -16302914.26540014] and der [-39639739.01187962  31121755.58523636 -40542885.01239166]
beta :[ 23699994.37097448 -18607221.50172684  24239970.74699152] and der [ 58938302.92051125 -46273348.54115586  60281144.59432016]
beta :[-35238308.54953676  27666127.03942902 -36041173.84732864] and der [-87632351.76495236  68801478.05232278 -89628954.42799853]
beta :[ 52394043.2154156  -41135351.01289376  53587780.58066989] and der [  1.30296067e+08  -1.02297403e+08   1.33264714e+08]
beta :[-77902023.90337832  61162051.99386544 -79676933.06360564] and der [ -1.93730566e+08   1.52100783e+08  -1.98144495e+08]
beta :[  1.15828542e+08  -9.09387307e+07   1.18467562e+08] and der [  2.88048082e+08  -2.26150884e+08   2.94610927e+08]
beta :[ -1.72219540e+08   1.35212153e+08  -1.76143365e+08] and der [ -4.28283978e+08   3.36252196e+08  -4.38041937e+08]
beta :[  2.56064438e+08  -2.01040043e+08   2.61898572e+08] and der [  6.36793568e+08  -4.99956213e+08   6.51302179e+08]
beta :[ -3.80729130e+08   2.98916170e+08  -3.89403607e+08] and der [ -9.46815826e+08   7.43359352e+08  -9.68387939e+08]
beta :[  5.66086696e+08  -4.44443183e+08   5.78984331e+08] and der [  1.40777208e+09  -1.10526305e+09   1.43984656e+09]
beta :[ -8.41685387e+08   6.60819864e+08  -8.60862225e+08] and der [ -2.09314439e+09   1.64335916e+09  -2.14083429e+09]
beta :[  1.25145901e+09  -9.82539298e+08   1.27997206e+09] and der [  3.11218947e+09  -2.44342679e+09   3.18309714e+09]
beta :[ -1.86073046e+09   1.46088749e+09  -1.90312508e+09] and der [ -4.62735554e+09   3.63300647e+09  -4.73278453e+09]
beta :[  2.76662507e+09  -2.17211898e+09   2.82965945e+09] and der [  6.88017856e+09  -5.40173172e+09   7.03693554e+09]
beta :[ -4.11355349e+09   3.22961274e+09  -4.20727609e+09] and der [ -1.02297860e+10   8.03155895e+09  -1.04628600e+10]
beta :[  6.11623254e+09  -4.80194620e+09   6.25558389e+09] and der [  1.52101463e+10  -1.19417147e+10   1.55566920e+10]
beta :[ -9.09391372e+09   7.13976850e+09  -9.30110812e+09] and der [ -2.26151895e+10   1.77555256e+10  -2.31304506e+10]
beta :[  1.35212757e+10  -1.06157571e+10   1.38293425e+10] and der [  3.36253699e+10  -2.63997839e+10   3.43914854e+10]
beta :[ -2.01040942e+10   1.57840269e+10  -2.05621429e+10] and der [ -4.99958448e+10   3.92524901e+10  -5.11349428e+10]
beta :[  2.98917506e+10  -2.34684632e+10   3.05727999e+10] and der [  7.43362675e+10  -5.83625223e+10   7.60299342e+10]
beta :[ -4.44445169e+10   3.48940591e+10  -4.54571343e+10] and der [ -1.10526799e+11   8.67762529e+10  -1.13045025e+11]
beta :[  6.60822818e+10  -5.18821938e+10   6.75878908e+10] and der [  1.64336651e+11  -1.29023177e+11   1.68080873e+11]
beta :[ -9.82543690e+10   7.71409836e+10  -1.00492982e+11] and der [ -2.44343771e+11   1.91837971e+11  -2.49910864e+11]
beta :[  1.46089402e+11  -1.14696988e+11   1.49417881e+11] and der [  3.63302271e+11  -2.85234080e+11   3.71579696e+11]
beta :[ -2.17212869e+11   1.70537092e+11  -2.22161815e+11] and der [ -5.40175587e+11   4.24099982e+11  -5.52482868e+11]
beta :[  3.22962718e+11  -2.53562890e+11   3.30321053e+11] and der [  8.03159485e+11  -6.30572598e+11   8.21458553e+11]
beta :[ -4.80196767e+11   3.77009708e+11  -4.91137500e+11] and der [ -1.19417681e+12   9.37566183e+11  -1.22138476e+12]
beta :[  7.13980042e+11  -5.60556475e+11   7.30247259e+11] and der [  1.77556049e+12  -1.39401926e+12   1.81601460e+12]
beta :[ -1.06158045e+12   8.33462787e+11  -1.08576734e+12] and der [ -2.63999019e+12   2.07269603e+12  -2.70013934e+12]
beta :[  1.57840974e+12  -1.23923324e+12   1.61437200e+12] and der [  3.92526655e+12  -3.08178584e+12   4.01469925e+12]
beta :[ -2.34685681e+12   1.84255260e+12  -2.40032725e+12] and der [ -5.83627832e+12   4.58214993e+12  -5.96925123e+12]
beta :[  3.48942150e+12  -2.73959733e+12   3.56892397e+12] and der [  8.67766408e+12  -6.81296465e+12   8.87537471e+12]
beta :[ -5.18824258e+12   4.07336732e+12  -5.30645074e+12] and der [ -1.29023754e+13   1.01298491e+13  -1.31963413e+13]
beta :[  7.71413285e+12  -6.05648178e+12   7.88989052e+12] and der [  1.91838829e+13  -1.50615551e+13   1.96209657e+13]
beta :[ -1.14697501e+13   9.00507336e+12  -1.17310752e+13] and der [ -2.85235355e+13   2.23942569e+13  -2.91734115e+13]
beta :[  1.70537854e+13  -1.33891836e+13   1.74423364e+13] and der [  4.24101878e+13  -3.32968766e+13   4.33764553e+13]
beta :[ -2.53564023e+13   1.99076930e+13  -2.59341189e+13] and der [ -6.30575417e+13   4.95074248e+13  -6.44942355e+13]
beta :[  3.77011393e+13  -2.95997318e+13   3.85601166e+13] and der [  9.37570374e+13  -7.36100609e+13   9.58931840e+13]
beta :[ -5.60558981e+13   4.40103291e+13  -5.73330675e+13] and der [ -1.39402549e+14   1.09447039e+14  -1.42578677e+14]
beta :[  8.33466512e+13  -6.54367101e+13   8.52456091e+13] and der [  2.07270529e+14  -1.62731211e+14   2.11992951e+14]
beta :[ -1.23923878e+14   9.72945014e+13  -1.26747341e+14] and der [ -3.08179961e+14   2.41956725e+14  -3.15201489e+14]
beta :[  1.84256083e+14  -1.44662224e+14   1.88454147e+14] and der [  4.58217041e+14  -3.59753094e+14   4.68656991e+14]
beta :[ -2.73960958e+14   2.15090871e+14  -2.80202844e+14] and der [ -6.81299511e+14   5.34898498e+14  -6.96822139e+14]
beta :[  4.07338553e+14  -3.19807627e+14   4.16619295e+14] and der [  1.01298944e+15  -7.95313251e+14   1.03606924e+15]
beta :[ -6.05650885e+14   4.75505624e+14  -6.19449946e+14] and der [ -1.50616225e+15   1.18251064e+15  -1.54047843e+15]
beta :[  9.00511362e+14  -7.07005021e+14   9.21028481e+14] and der [  2.23943570e+15  -1.75821467e+15   2.29045868e+15]
beta :[ -1.33892434e+15   1.05120965e+15  -1.36943020e+15] and der [ -3.32970254e+15   2.61419957e+15  -3.40556600e+15]
beta :[  1.99077820e+15  -1.56298993e+15   2.03613580e+15] and der [  4.95076462e+15  -3.88691980e+15   5.06356211e+15]
beta :[ -2.95998641e+15   2.32392987e+15  -3.02742631e+15] and der [ -7.36103900e+15   5.77926249e+15  -7.52875183e+15]
beta :[  4.40105259e+15  -3.45533261e+15   4.50132552e+15] and der [  1.09447528e+16  -8.59289016e+15   1.11941165e+16]
beta :[ -6.54370026e+15   5.13755754e+15  -6.69279097e+15] and der [ -1.62731939e+16   1.27763294e+16  -1.66439600e+16]
beta :[  9.72949363e+15  -7.63877186e+15   9.95116899e+15] and der [  2.41957807e+16  -1.89964715e+16   2.47470538e+16]
beta :[ -1.44662871e+16   1.13576997e+16  -1.47958848e+16] and der [ -3.59754703e+16   2.82448831e+16  -3.67951301e+16]
beta :[  2.15091832e+16  -1.68871834e+16   2.19992453e+16] and der [  5.34900889e+16  -4.19958737e+16   5.47087993e+16]
beta :[ -3.19809057e+16   2.51086903e+16  -3.27095540e+16] and der [ -7.95316807e+16   6.24415193e+16  -8.13437188e+16]
beta :[  4.75507750e+16  -3.73328290e+16   4.86341648e+16] and der [  1.18251593e+17  -9.28411052e+16   1.20945820e+17]
1,100,-7.07008181458e+16,5.55082762344e+16,-7.2311655235e+16
beta :[ 0.  0.  0.] and der [-5.48230406  4.35409887 -4.87639601]
beta :[ 5.48230406 -4.35409887  4.87639601] and der [ 59.88585001 -47.3682311   60.35149477]
beta :[-54.40354595  43.01413222 -55.47509876] and der [-682.49670175  536.10726131 -696.50799519]
beta :[ 628.0931558  -493.09312908  641.03289643] and der [ 7798.6127546  -6123.45499851  7974.15784853]
beta :[-7170.51959881  5630.36186943 -7333.1249521 ] and der [-89165.11615438  70005.61929542 -91193.2631414 ]
beta :[ 81994.59655557 -64375.25742599  83860.1381893 ] and der [ 1019524.91801321  -800445.68802727  1042748.70067063]
beta :[-937530.32145764  736070.43060128 -958888.56248133] and der [-11657482.49714858   9152466.73474195 -11923077.32451068]
beta :[ 10719952.17569093  -8416396.30414066  10964188.76202936] and der [  1.33294482e+08  -1.04651507e+08   1.36331433e+08]
beta :[ -1.22574530e+08   9.62351105e+07  -1.25367244e+08] and der [ -1.52412168e+09   1.19661087e+09  -1.55884703e+09]
beta :[  1.40154715e+09  -1.10037576e+09   1.43347978e+09] and der [  1.74271800e+10  -1.36823412e+10   1.78242383e+10]
beta :[ -1.60256328e+10   1.25819655e+10  -1.63907585e+10] and der [ -1.99266638e+11   1.56447236e+11  -2.03806700e+11]
beta :[  1.83241005e+11  -1.43865271e+11   1.87415941e+11] and der [  2.27846347e+12  -1.78885596e+12   2.33037565e+12]
beta :[ -2.09522247e+12   1.64499069e+12  -2.14295971e+12] and der [ -2.60525086e+13   2.04542166e+13  -2.66460852e+13]
beta :[  2.39572862e+13  -1.88092259e+13   2.45031255e+13] and der [  2.97890755e+14  -2.33878515e+14   3.04677855e+14]
beta :[ -2.73933469e+14   2.15069289e+14  -2.80174729e+14] and der [ -3.40615575e+15   2.67422414e+15  -3.48376111e+15]
beta :[  3.13222228e+15  -2.45915485e+15   3.20358638e+15] and der [  3.89468179e+16  -3.05777328e+16   3.98341765e+16]
beta :[ -3.58145957e+16   2.81185780e+16  -3.66305902e+16] and der [ -4.45327442e+17   3.49633276e+17  -4.55473717e+17]
beta :[  4.09512846e+17  -3.21514698e+17   4.18843127e+17] and der [  5.09198288e+18  -3.99779239e+18   5.20799788e+18]
beta :[ -4.68247004e+18   3.67627769e+18  -4.78915475e+18] and der [ -5.82229777e+19   4.57117359e+19  -5.95495215e+19]
beta :[  5.35405076e+19  -4.20354582e+19   5.47603667e+19] and der [  6.65735767e+20  -5.22679168e+20   6.80903793e+20]
beta :[ -6.12195259e+20   4.80643710e+20  -6.26143426e+20] and der [ -7.61218558e+21   5.97644145e+21  -7.78562050e+21]
beta :[  6.99999032e+21  -5.49579774e+21   7.15947707e+21] and der [  8.70395916e+22  -6.83360932e+22   8.90226890e+22]
beta :[ -8.00396013e+22   6.28402954e+22  -8.18632119e+22] and der [ -9.95231979e+23   7.81371603e+23  -1.01790720e+24]
beta :[  9.15192377e+23  -7.18531307e+23   9.36043986e+23] and der [  1.13797259e+25  -8.93439401e+24   1.16389999e+25]
beta :[ -1.04645335e+25   8.21586270e+24  -1.07029559e+25] and der [ -1.30118569e+26   1.02158046e+26  -1.33083171e+26]
beta :[  1.19654035e+26  -9.39421835e+25   1.22380215e+26] and der [  1.48780754e+27  -1.16810009e+27   1.52170553e+27]
beta :[ -1.36815350e+27   1.07415790e+27  -1.39932531e+27] and der [ -1.70119553e+28   1.33563421e+28  -1.73995532e+28]
beta :[  1.56438018e+28  -1.22821842e+28   1.60002278e+28] and der [  1.94518857e+29  -1.52719682e+29   1.98950746e+29]
beta :[ -1.78875055e+29   1.40437498e+29  -1.82950518e+29] and der [ -2.22417619e+30   1.74623419e+30  -2.27485149e+30]
beta :[  2.04530113e+30  -1.60579670e+30   2.09190097e+30] and der [  2.54317745e+31  -1.99668689e+31   2.60112083e+31]
beta :[ -2.33864734e+31   1.83610722e+31  -2.39193073e+31] and der [ -2.90793130e+32   2.28306062e+32  -2.97418518e+32]
beta :[  2.67406656e+32  -2.09944990e+32   2.73499210e+32] and der [  3.32499976e+33  -2.61050735e+33   3.40075607e+33]
beta :[ -3.05759311e+33   2.40056236e+33  -3.12725686e+33] and der [ -3.80188605e+34   2.98491795e+34  -3.88850767e+34]
beta :[  3.49612674e+34  -2.74486171e+34   3.57578198e+34] and der [  4.34716950e+35  -3.41302819e+35   4.44621477e+35]
beta :[ -3.99755682e+35   3.13854202e+35  -4.08863657e+35] and der [ -4.97065992e+36   3.90253990e+36  -5.08391071e+36]
beta :[  4.57090424e+36  -3.58868570e+36   4.67504705e+36] and der [  5.68357412e+37  -4.46225957e+37   5.81306784e+37]
beta :[ -5.22648370e+37   4.10339100e+37  -5.34556314e+37] and der [ -6.49873766e+38   5.10225673e+38  -6.64680395e+38]
beta :[  5.97608929e+38  -4.69191763e+38   6.11224763e+38] and der [  7.43081558e+39  -5.83404513e+39   7.60011820e+39]
beta :[ -6.83320665e+39   5.36485337e+39  -6.98889343e+39] and der [ -8.49657628e+40   6.67078989e+40  -8.69016103e+40]
beta :[  7.81325561e+40  -6.13430455e+40   7.99127168e+40] and der [  9.71519312e+41  -7.62754431e+41   9.93654266e+41]
beta :[ -8.93386756e+41   7.01411386e+41  -9.13741549e+41] and der [ -1.11085894e+43   8.72152072e+42  -1.13616859e+43]
beta :[  1.02152027e+43  -8.02010933e+42   1.04479443e+43] and der [  1.27018328e+44  -9.97240009e+43   1.29912295e+44]
beta :[ -1.16803126e+44   9.17038916e+43  -1.19464351e+44] and der [ -1.45235863e+45   1.14026862e+45  -1.48544896e+45]
beta :[  1.33555551e+45  -1.04856473e+45   1.36598461e+45] and der [  1.66066238e+46  -1.30381102e+46   1.69849867e+46]
beta :[ -1.52710683e+46   1.19895455e+46  -1.56190021e+46] and der [ -1.89884198e+47   1.49080941e+47  -1.94210492e+47]
beta :[  1.74613130e+47  -1.37091396e+47   1.78591490e+47] and der [  2.17118236e+48  -1.70462794e+48   2.22065026e+48]
beta :[ -1.99656923e+48   1.56753655e+48  -2.04205877e+48] and der [ -2.48258301e+49   1.94911328e+49  -2.53914582e+49]
beta :[  2.28292609e+49  -1.79235963e+49   2.33493995e+49] and der [  2.83864614e+50  -2.22866380e+50   2.90332143e+50]
beta :[ -2.61035353e+50   2.04942784e+50  -2.66982744e+50] and der [ -3.24577742e+51   2.54830869e+51  -3.31972874e+51]
beta :[  2.98474207e+51  -2.34336591e+51   3.05274599e+51] and der [  3.71130128e+52  -2.91379849e+52   3.79585903e+52]
beta :[ -3.41282708e+52   2.67946189e+52  -3.49058443e+52] and der [ -4.24359266e+53   3.33170845e+53  -4.34027805e+53]
beta :[  3.90230995e+53  -3.06376226e+53   3.99121961e+53] and der [  4.85222763e+54  -3.80955693e+54   4.96278008e+54]
beta :[ -4.46199664e+54   3.50318070e+54  -4.56365812e+54] and der [ -5.54815575e+55   4.35594057e+55  -5.67456412e+55]
beta :[  5.10195608e+55  -4.00562250e+55   5.21819830e+55] and der [  6.34389698e+56  -4.98068898e+56   6.48843540e+56]
beta :[ -5.83370137e+56   4.58012673e+56  -5.96661557e+56] and der [ -7.25376696e+57   5.69504159e+57  -7.41903572e+57]
beta :[  6.67039682e+57  -5.23702892e+57   6.82237417e+57] and der [  8.29413455e+58  -6.51184984e+58   8.48310690e+58]
beta :[ -7.62709487e+58   5.98814695e+58  -7.80086948e+58] and der [ -9.48371630e+59   7.44580838e+59  -9.69979190e+59]
beta :[  8.72100681e+59  -6.84699368e+59   8.91970495e+59] and der [  1.08439132e+61  -8.51371940e+60   1.10909793e+61]
beta :[ -9.97181248e+60   7.82902003e+60  -1.01990088e+61] and der [ -1.23991955e+62   9.73479499e+61  -1.26816970e+62]
beta :[  1.14020143e+62  -8.95189299e+61   1.16617961e+62] and der [  1.41775434e+63  -1.11310027e+63   1.45005625e+63]
beta :[ -1.30373420e+63   1.02358134e+63  -1.33343829e+63] and der [ -1.62109499e+64   1.27274607e+64  -1.65802978e+64]
beta :[  1.49072157e+64  -1.17038794e+64   1.52468595e+64] and der [  1.85359966e+65  -1.45528898e+65   1.89583180e+65]
beta :[ -1.70452750e+65   1.33825019e+65  -1.74336321e+65] and der [ -2.11945118e+66   1.66401302e+66  -2.16774045e+66]
beta :[  1.94899843e+66  -1.53018800e+66   1.99340413e+66] and der [  2.42343232e+67  -1.90267318e+67   2.47864745e+67]
beta :[ -2.22853248e+67   1.74965438e+67  -2.27930703e+67] and der [ -2.77101179e+68   2.17556305e+68  -2.83414611e+68]
beta :[  2.54815854e+68  -2.00059761e+68   2.60621541e+68] and der [  3.16844265e+69  -2.48759200e+69   3.24063198e+69]
beta :[ -2.91362679e+69   2.28753224e+69  -2.98001044e+69] and der [ -3.62287481e+70   2.84437353e+70  -3.70541786e+70]
beta :[  3.33151214e+70  -2.61562031e+70   3.40741682e+70] and der [  4.14248367e+71  -3.25232627e+71   4.23686541e+71]
beta :[ -3.80933246e+71   2.99076423e+71  -3.89612373e+71] and der [ -4.73661714e+72   3.71878940e+72  -4.84453553e+72]
beta :[  4.35568390e+72  -3.41971297e+72   4.45492316e+72] and der [  5.41596389e+73  -4.25215475e+73   5.53936041e+73]
beta :[ -4.98039550e+73   3.91018345e+73  -5.09386810e+73] and der [ -6.19274557e+74   4.86201773e+74  -6.33384018e+74]
beta :[  5.69470602e+74  -4.47099939e+74   5.82445337e+74] and der [  7.08093674e+75  -5.55934999e+75   7.24226777e+75]
beta :[ -6.51146614e+75   5.11225005e+75  -6.65982243e+75] and der [ -8.09651625e+76   6.35669675e+76  -8.28098609e+76]
beta :[  7.44536964e+76  -5.84547174e+76   7.61500385e+76] and der [  9.25775470e+77  -7.26840253e+77   9.46868203e+77]
beta :[ -8.51321774e+77   6.68385535e+77  -8.70718165e+77] and der [ -1.05855431e+79   8.31086922e+78  -1.08267226e+79]
beta :[  9.73422138e+78  -7.64248368e+78   9.95600445e+78] and der [  1.21037689e+80  -9.50285113e+79   1.23795394e+80]
beta :[ -1.11303468e+80   8.73860276e+79  -1.13839390e+80] and der [ -1.38397454e+81   1.08657924e+81  -1.41550682e+81]
beta :[  1.27267107e+81  -9.99193212e+80   1.30166743e+81] and der [  1.58247034e+82  -1.24242128e+82   1.61852511e+82]
beta :[ -1.45520323e+82   1.14250196e+82  -1.48835837e+82] and der [ -1.80943529e+83   1.42061487e+83  -1.85066120e+83]
beta :[  1.66391497e+83  -1.30636468e+83   1.70182536e+83] and der [  2.06895257e+84  -1.62436579e+84   2.11609128e+84]
beta :[ -1.90256107e+84   1.49372932e+84  -1.94590874e+84] and der [ -2.36569096e+85   1.85733958e+85  -2.41959052e+85]
beta :[  2.17543486e+85  -1.70796664e+85   2.22499965e+85] and der [  2.70498891e+86  -2.12372750e+86   2.76661898e+86]
beta :[ -2.48744542e+86   1.95293083e+86  -2.54411901e+86] and der [ -3.09295047e+87   2.42832196e+87  -3.16341981e+87]
beta :[  2.84420593e+87  -2.23302888e+87   2.90900790e+87] and der [  3.53655522e+88  -2.77660272e+88   3.61713157e+88]
beta :[ -3.25213462e+88   2.55329983e+88  -3.32623078e+88] and der [ -4.04378373e+89   3.17483546e+89  -4.13591671e+89]
beta :[  3.71857027e+89  -2.91950548e+89   3.80329363e+89] and der [  4.62376122e+90  -3.63018451e+90   4.72910832e+90]
beta :[ -4.25190419e+90   3.33823396e+90  -4.34877896e+90] and der [ -5.28692166e+91   4.15084176e+91  -5.40737811e+91]
beta :[  4.86173124e+91  -3.81701836e+91   4.97250022e+91] and der [  6.04519554e+92  -4.74617398e+92   6.18292839e+92]
beta :[ -5.55902241e+92   4.36447215e+92  -5.68567836e+92] and der [ -6.91222443e+93   5.42689141e+93  -7.06971153e+93]
beta :[  6.35632218e+93  -4.99044420e+93   6.50114370e+93] and der [  7.90360646e+94  -6.20524037e+94   8.08368108e+94]
beta :[ -7.26797425e+94   5.70619595e+94  -7.43356671e+94] and der [ -9.03717693e+95   7.09522360e+95  -9.24307865e+95]
